"N","COPY_H2D_MIN_s","COPY_H2D_AVG_s","COPY_H2D_MAX_s","LPOTRF_MIN_s","LPOTRF_AVG_s","LPOTRF_MAX_s","UPOTRF_MIN_s","UPOTRF_AVG_s","UPOTRF_MAX_s"
732,4.27145976573228836E-04,4.29358304245397340E-04,4.47125057689845562E-04,3.40906402561813593E-03,3.45824690070003224E-03,3.48522805143147707E-03,3.69276409037411213E-03,3.73922664206475033E-03,3.79561807494610548E-03
733,4.28730039857327938E-04,4.31343492236919783E-04,4.47263941168785095E-04,3.48817894700914621E-03,3.52507948176935355E-03,3.55903489980846643E-03,3.77486005891114473E-03,3.80752290366217485E-03,3.83792701177299023E-03
734,4.29476960562169552E-04,4.31792674935422996E-04,4.47934027761220932E-04,3.40100901667028666E-03,3.44446928007528276E-03,3.47893498837947845E-03,3.68639093358069658E-03,3.72419262886978641E-03,3.79424192942678928E-03
735,4.30879998020827770E-04,4.33407034724950745E-04,4.59966016933321953E-04,3.48523701541125774E-03,3.51601963280700211E-03,3.55614407453685999E-03,3.77603992819786072E-03,3.80790763068944134E-03,3.84051003493368626E-03
736,4.31383028626441956E-04,4.33760927408002222E-04,4.48253937065601349E-04,3.20756493601948023E-03,3.26876696664839999E-03,3.29632696229964495E-03,3.56509198900312185E-03,3.60280019696802064E-03,3.64956399425864220E-03
737,4.37646056525409222E-04,4.40405118279158924E-04,4.56226058304309845E-04,3.59072093851864338E-03,3.63475543679669597E-03,3.66615003440529108E-03,3.88079008553177118E-03,3.92581109190359625E-03,3.96086100954562426E-03
738,4.38497983850538731E-04,4.41295236814767092E-04,4.62691998109221458E-04,3.48954903893172741E-03,3.53593724896199887E-03,3.56741202995181084E-03,3.81838390603661537E-03,3.84572489419951870E-03,3.87656688690185547E-03
739,4.37990995123982430E-04,4.42082234658300929E-04,4.97072003781795502E-04,3.58630996197462082E-03,3.63299353979528155E-03,3.77091590780764818E-03,3.87375405989587307E-03,3.91392977908253722E-03,3.97281500045210123E-03
740,4.38377028331160545E-04,4.41126798395998800E-04,4.56281006336212158E-04,3.48511605989187956E-03,3.53247657534666365E-03,3.56561492662876844E-03,3.81512893363833427E-03,3.84318613680079569E-03,3.87724500615149736E-03
741,4.40201954916119576E-04,4.43201430607587186E-04,4.93815052323043346E-04,3.56609805021435022E-03,3.62327746348455569E-03,3.67152900435030460E-03,3.85405903216451406E-03,3.90448779566213286E-03,3.95376398228108883E-03
742,4.40606032498180866E-04,4.43167410558089486E-04,4.67390054836869240E-04,3.48380999639630318E-03,3.53252649074420246E-03,3.57513490598648787E-03,3.81021096836775541E-03,3.84426196571439416E-03,3.88008204754441977E-03
743,4.41469019278883934E-04,4.44503119215369140E-04,4.72803018055856228E-04,3.56917898170650005E-03,3.61525078304111977E-03,3.65880306344479322E-03,3.86036606505513191E-03,3.90225967741571417E-03,3.94509104080498219E-03
744,4.42101969383656979E-04,4.44557616719976024E-04,4.65684104710817337E-04,3.48053209017962217E-03,3.51343609159812231E-03,3.54616006370633841E-03,3.79178707953542471E-03,3.82619688403792752E-03,3.86601197533309460E-03
745,4.45335055701434612E-04,4.48327263584360602E-04,4.89105004817247391E-04,3.58861708082258701E-03,3.63266491214744901E-03,3.65756603423506021E-03,3.87777108699083328E-03,3.91443574335425919E-03,3.94694006536155939E-03
