"N","COPY_H2D_MIN_s","COPY_H2D_AVG_s","COPY_H2D_MAX_s","LPOTRF_MIN_s","LPOTRF_AVG_s","LPOTRF_MAX_s","UPOTRF_MIN_s","UPOTRF_AVG_s","UPOTRF_MAX_s"
261,7.64749711379408836E-05,7.80559692066162738E-05,9.10090748220682144E-05,2.22464802209287882E-03,2.25424951640889118E-03,2.34426697716116905E-03,2.41868000011891127E-03,2.44656234281137629E-03,2.50911200419068336E-03
262,7.67259625717997551E-05,7.83612992381677097E-05,9.09189693629741669E-05,2.21639405936002731E-03,2.25727225071750606E-03,2.33947008382529020E-03,2.40717607084661722E-03,2.44928890955634429E-03,2.53534503281116486E-03
263,7.73649662733078003E-05,7.86572770448401559E-05,8.37789848446846008E-05,2.21934099681675434E-03,2.25746737211011397E-03,2.67576402984559536E-03,2.41615995764732361E-03,2.44981640833430003E-03,2.83338804729282856E-03
264,7.76100205257534981E-05,7.90363445412367344E-05,8.72829696163535118E-05,2.21359694842249155E-03,2.25124366465024673E-03,2.30127095710486174E-03,2.41863401606678963E-03,2.51574512571096443E-03,9.04064404312521219E-03
265,7.80099071562290192E-05,7.97738123219460065E-05,8.89359507709741592E-05,2.23010103218257427E-03,2.26938853273168191E-03,2.53140693530440331E-03,2.25429306738078594E-03,2.29448265745304560E-03,2.50111101195216179E-03
266,7.82200368121266365E-05,7.97793810488655936E-05,8.97379359230399132E-05,2.21886299550533295E-03,2.25359724834561358E-03,2.35196005087345839E-03,2.25593498907983303E-03,2.28605014621279965E-03,2.37992906477302313E-03
267,7.87810422480106354E-05,8.02802393445745387E-05,8.93200049176812172E-05,2.22274905536323786E-03,2.25583569728769317E-03,2.33740301337093115E-03,2.25040002260357141E-03,2.28368467185646306E-03,2.39522801712155342E-03
268,7.89110781624913216E-05,8.08412884362041956E-05,1.24073005281388760E-04,2.22180900163948536E-03,2.25449878256768097E-03,2.33300309628248215E-03,2.25851603318005800E-03,2.28115510544739733E-03,2.34051002189517021E-03
269,7.97270331531763077E-05,8.11659655300900297E-05,9.06439963728189468E-05,2.22265208140015602E-03,2.25894682807847814E-03,2.38819501828402281E-03,2.24966695532202721E-03,2.28637874010019027E-03,2.40401108749210835E-03
270,7.98660330474376678E-05,8.12918279552831823E-05,9.09559894353151321E-05,2.21577298361808062E-03,2.25491757038980651E-03,2.39497504662722349E-03,2.25619191769510508E-03,2.28487596847116873E-03,2.34269804786890745E-03
271,8.00869893282651901E-05,8.18721845280379285E-05,1.00099947303533554E-04,2.22159805707633495E-03,2.26806792197748906E-03,3.05518601089715958E-03,2.24764691665768623E-03,2.28922123671509211E-03,2.39135499577969313E-03
272,8.03589355200529099E-05,8.17154627293348291E-05,8.91180243343114853E-05,2.22298305016011000E-03,2.25673358771018642E-03,2.34305602498352528E-03,2.26157298311591148E-03,2.28273187065497095E-03,2.34799704048782587E-03
