"N","COPY_H2D_MIN_s","COPY_H2D_AVG_s","COPY_H2D_MAX_s","LPOTRF_MIN_s","LPOTRF_AVG_s","LPOTRF_MAX_s","UPOTRF_MIN_s","UPOTRF_AVG_s","UPOTRF_MAX_s"
68,1.62280630320310593E-05,1.76484650000929870E-05,2.74879857897758484E-05,1.20133196469396353E-03,1.20642364723607906E-03,1.23121996875852346E-03,1.20444491039961576E-03,1.20927831507287929E-03,1.23845692723989487E-03
69,1.61989592015743256E-05,1.78784655872732408E-05,3.11160692945122719E-05,1.21881405357271433E-03,1.22324734460562464E-03,1.24856899492442608E-03,1.22345506679266691E-03,1.22691973578184835E-03,1.24601996503770351E-03
70,1.63470394909381866E-05,1.79328047670423911E-05,3.02880071103572845E-05,1.23607704881578684E-03,1.24043876305222466E-03,1.25809805467724800E-03,1.24231399968266487E-03,1.24774042516946778E-03,1.28225306980311871E-03
71,1.65320234373211861E-05,1.81638996582478309E-05,5.30170509591698647E-05,1.25408894382417202E-03,1.25946207786910270E-03,1.28470093477517366E-03,1.26185396220535040E-03,1.26595005043782303E-03,1.30760495085269213E-03
72,1.64810335263609886E-05,1.83884840225800872E-05,3.20769613608717918E-05,1.27227907069027424E-03,1.28453264944255346E-03,1.35110295377671719E-03,1.27989600878208876E-03,1.29118821583688263E-03,1.35030294768512249E-03
73,1.68420374393463135E-05,1.83156982529908514E-05,3.16749792546033859E-05,1.29165104590356350E-03,1.29608278046362173E-03,1.32026092614978552E-03,1.29864609334617853E-03,1.30358904250897439E-03,1.32594292517751455E-03
74,1.67640391737222672E-05,1.84180977521464234E-05,2.83690169453620911E-05,1.30933895707130432E-03,1.31524898461066273E-03,1.33483391255140305E-03,1.31707789842039347E-03,1.32503580767661354E-03,1.35458307340741158E-03
75,1.70139828696846962E-05,1.84823572635650624E-05,3.04130371659994125E-05,1.32727890741080046E-03,1.33502970798872380E-03,1.39517500065267086E-03,1.33676605764776468E-03,1.34455768624320605E-03,1.39878306072205305E-03
76,1.71629944816231728E-05,1.87377817928791122E-05,2.95409699901938438E-05,1.34561606682837009E-03,1.35140281869098526E-03,1.40624609775841236E-03,1.35504198260605335E-03,1.36031085625290885E-03,1.38087198138237000E-03
77,1.71209685504436493E-05,1.86385086271911868E-05,3.29950125887989998E-05,1.36458291672170162E-03,1.36838899925351143E-03,1.39009498525410891E-03,1.37352105230093002E-03,1.37767237960360932E-03,1.39616092201322317E-03
78,1.72470463439822197E-05,1.87297735828906262E-05,2.84389825537800789E-05,1.38180202338844538E-03,1.38660467695444784E-03,1.41461694147437811E-03,1.39211502391844988E-03,1.39738868456333793E-03,1.41555001027882099E-03
79,1.73239968717098236E-05,1.89287000102922335E-05,2.77699436992406845E-05,1.39975501224398613E-03,1.40544280642643455E-03,1.43248506356030703E-03,1.41076603904366493E-03,1.41563572222366926E-03,1.43939699046313763E-03
80,1.74730084836483002E-05,1.88650714699178879E-05,2.20569781959056854E-05,1.41848705243319273E-03,1.42208783770911393E-03,1.44685397390276194E-03,1.43027701415121555E-03,1.43432323238812409E-03,1.45612098276615143E-03
81,1.76550820469856262E-05,1.94507499691098842E-05,3.28739406540989876E-05,1.44221598748117685E-03,1.45215189550071942E-03,1.51319394353777170E-03,1.44834001548588276E-03,1.45589486579410753E-03,1.49447203148156404E-03
82,1.77519395947456360E-05,1.94056960754096444E-05,3.31850023940205574E-05,1.45968189463019371E-03,1.46534219617024055E-03,1.49302498903125525E-03,1.46727706305682659E-03,1.47246238542720633E-03,1.49539799895137548E-03
83,1.79219059646129608E-05,1.95826456183567597E-05,3.05650755763053894E-05,1.47726794239133596E-03,1.48296099039725939E-03,1.50811299681663513E-03,1.48687302134931087E-03,1.49382342817261783E-03,1.52123207226395607E-03
84,1.81080540642142296E-05,1.95023772539570915E-05,2.14061001315712929E-05,1.49436504580080509E-03,1.50024901260621918E-03,1.52303103823214769E-03,1.50679599028080702E-03,1.51220295578241353E-03,1.53415300883352757E-03
85,1.82209769263863564E-05,1.99413066729903243E-05,4.11310466006398201E-05,1.51231000199913979E-03,1.51920986245386342E-03,1.55362009536474943E-03,1.52625201735645533E-03,1.53181857080198804E-03,1.57228100579231977E-03
86,1.83399533852934837E-05,1.98169006034731904E-05,2.28510471060872078E-05,1.52924598660320044E-03,1.53537071775644964E-03,1.55895494390279055E-03,1.54504308011382818E-03,1.54993615113198759E-03,1.57471804413944483E-03
87,1.82630028575658798E-05,1.99425377650186421E-05,2.22410308197140694E-05,1.54702400323003531E-03,1.55423427233472469E-03,1.59120396710932255E-03,1.56460597645491362E-03,1.57178887748159538E-03,1.68115098495036364E-03
88,1.85279641300439835E-05,2.02474207617342426E-05,3.12390038743615150E-05,1.56601495109498501E-03,1.57397852744907136E-03,1.66067900136113167E-03,1.58339098561555147E-03,1.59119583200663340E-03,1.63909303955733776E-03
89,1.89380953088402748E-05,2.05152056878432659E-05,4.33650566264986992E-05,1.58417399507015944E-03,1.59459397895261607E-03,1.68599595781415701E-03,1.60254002548754215E-03,1.61158530041575479E-03,1.68855604715645313E-03
90,1.88408885151147842E-05,2.02361342962831199E-05,2.24630348384380341E-05,1.60252000205218792E-03,1.60687354160472763E-03,1.62429700139909983E-03,1.62246706895530224E-03,1.62687303265556730E-03,1.65741308592259884E-03
91,1.90809369087219238E-05,2.05224310047924481E-05,3.37399542331695557E-05,1.62036099936813116E-03,1.62600203067995649E-03,1.65228592231869698E-03,1.64125207811594009E-03,1.64722462301142465E-03,1.66706496383994818E-03
92,1.89519487321376801E-05,2.04841681988909850E-05,2.28619901463389397E-05,1.63860199972987175E-03,1.64328708779066797E-03,1.66622002143412828E-03,1.66096305474638939E-03,1.66550766676664352E-03,1.70865596737712622E-03
93,1.91850122064352036E-05,2.06221040571108420E-05,2.17079650610685349E-05,1.65717594791203737E-03,1.66208572802133939E-03,1.69658800587058067E-03,1.67999090626835823E-03,1.68447120930068214E-03,1.72400509472936392E-03
94,1.92850129678845406E-05,2.09492119029164332E-05,3.09989554807543755E-05,1.67481100652366877E-03,1.68239538441412179E-03,1.73877493944019079E-03,1.69911899138242006E-03,1.70799650717526688E-03,1.75266305450350046E-03
